model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss
unfamiliar_hcp_selected,2025-10,responded_strict,0.1,400,30,40,13,0.075,0.325,0.43333333333333335,4.333333333333334,0.30799852469644073,0.8437837837837838,0.08047971876209128,0.06057405343335315,0.2136194533185648
unfamiliar_hcp_selected,2025-10,responded_strict,0.2,400,30,80,17,0.075,0.2125,0.5666666666666667,2.8333333333333335,0.30799852469644073,0.8437837837837838,0.08047971876209128,0.06057405343335315,0.2136194533185648
unfamiliar_hcp_selected,2025-11,responded_strict,0.05,404,42,21,10,0.10396039603960396,0.47619047619047616,0.23809523809523808,4.580498866213152,0.2610879531633206,0.6820573533280716,0.08265111977303014,0.08748281711021345,0.316412637392642
unfamiliar_hcp_selected,2025-11,responded_strict,0.1,404,42,41,11,0.10396039603960396,0.2682926829268293,0.2619047619047619,2.580720092915215,0.2610879531633206,0.6820573533280716,0.08265111977303014,0.08748281711021345,0.316412637392642
unfamiliar_hcp_selected,2025-11,responded_strict,0.2,404,42,81,20,0.10396039603960396,0.24691358024691357,0.47619047619047616,2.3750734861845975,0.2610879531633206,0.6820573533280716,0.08265111977303014,0.08748281711021345,0.316412637392642
unfamiliar_hcp_selected,2025-12,responded_strict,0.05,410,34,21,11,0.08292682926829269,0.5238095238095238,0.3235294117647059,6.3165266106442575,0.3871418144977855,0.7360763454317898,0.08058296416488513,0.06784863439856653,0.2534980286953624
unfamiliar_hcp_selected,2025-12,responded_strict,0.1,410,34,41,14,0.08292682926829269,0.34146341463414637,0.4117647058823529,4.11764705882353,0.3871418144977855,0.7360763454317898,0.08058296416488513,0.06784863439856653,0.2534980286953624
unfamiliar_hcp_selected,2025-12,responded_strict,0.2,410,34,82,17,0.08292682926829269,0.2073170731707317,0.5,2.4999999999999996,0.3871418144977855,0.7360763454317898,0.08058296416488513,0.06784863439856653,0.2534980286953624
unfamiliar_hcp_decile,2025-10,responded_strict,0.05,400,30,20,6,0.075,0.3,0.2,4.0,0.1488081163781618,0.7432432432432432,,,
unfamiliar_hcp_decile,2025-10,responded_strict,0.1,400,30,40,7,0.075,0.175,0.23333333333333334,2.3333333333333335,0.1488081163781618,0.7432432432432432,,,
unfamiliar_hcp_decile,2025-10,responded_strict,0.2,400,30,80,12,0.075,0.15,0.4,2.0,0.1488081163781618,0.7432432432432432,,,
unfamiliar_hcp_decile,2025-11,responded_strict,0.05,404,42,21,3,0.10396039603960396,0.14285714285714285,0.07142857142857142,1.3741496598639455,0.1347625665306887,0.5942186266771903,,,
unfamiliar_hcp_decile,2025-11,responded_strict,0.1,404,42,41,6,0.10396039603960396,0.14634146341463414,0.14285714285714285,1.4076655052264808,0.1347625665306887,0.5942186266771903,,,
unfamiliar_hcp_decile,2025-11,responded_strict,0.2,404,42,81,10,0.10396039603960396,0.12345679012345678,0.23809523809523808,1.1875367430922987,0.1347625665306887,0.5942186266771903,,,
unfamiliar_hcp_decile,2025-12,responded_strict,0.05,410,34,21,3,0.08292682926829269,0.14285714285714285,0.08823529411764706,1.722689075630252,0.14957224219610243,0.6596526908635796,,,
unfamiliar_hcp_decile,2025-12,responded_strict,0.1,410,34,41,7,0.08292682926829269,0.17073170731707318,0.20588235294117646,2.058823529411765,0.14957224219610243,0.6596526908635796,,,
unfamiliar_hcp_decile,2025-12,responded_strict,0.2,410,34,82,13,0.08292682926829269,0.15853658536585366,0.38235294117647056,1.9117647058823528,0.14957224219610243,0.6596526908635796,,,
