model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss,stage
extended_boosting,responded_strict,0.2,3,6060,460,1214,245,0.2018151815181518,0.1925925925925926,0.2074074074074074,0.5330242959810669,2.660735124830938,0.2495610841230745,0.7749613427594683,0.0759100469373582,0.0791015239241653,0.0639615323498653,0.2326843612511105,later
hcp_history_frozen,responded_strict,0.05,3,6060,460,305,84,0.2753834206950107,0.2450980392156862,0.3137254901960784,0.1823230374699206,3.621988571065706,0.1840000112461876,0.7018738486109403,0.0759100469373582,0.0690229101142985,0.0671666481323206,0.6876650535312571,later
hcp_history_frozen,responded_strict,0.1,3,6060,460,608,131,0.2154318880163878,0.198019801980198,0.2315270935960591,0.2854847829770208,2.845184169079612,0.1840000112461876,0.7018738486109403,0.0759100469373582,0.0690229101142985,0.0671666481323206,0.6876650535312571,later
hcp_history_frozen,responded_strict,0.2,3,6060,460,1214,211,0.1738051582936071,0.1703703703703703,0.1777777777777777,0.4594618819600907,2.2935305809837696,0.1840000112461876,0.7018738486109403,0.0759100469373582,0.0690229101142985,0.0671666481323206,0.6876650535312571,later
three_field_rate,responded_strict,0.05,3,6060,460,305,92,0.301559567721478,0.2772277227722772,0.3235294117647059,0.2005151921559851,3.9829103675783473,0.2342743416601949,0.7671438740859696,0.0759100469373582,0.0808866626435283,0.0643126370065207,0.2344241764839331,later
three_field_rate,responded_strict,0.1,3,6060,460,608,161,0.264790518460713,0.2574257425742574,0.270935960591133,0.3508827504528484,3.497125671735617,0.2342743416601949,0.7671438740859696,0.0759100469373582,0.0808866626435283,0.0643126370065207,0.2344241764839331,later
three_field_rate,responded_strict,0.2,3,6060,460,1214,246,0.2026423012671637,0.1925925925925926,0.2103960396039604,0.535147269205067,2.67133936424511,0.2342743416601949,0.7671438740859696,0.0759100469373582,0.0808866626435283,0.0643126370065207,0.2344241764839331,later
core_logistic,responded_strict,0.05,6,12135,911,610,181,0.2967223192907526,0.2574257425742574,0.3366336633663366,0.1984704612819041,3.948562199747661,0.2313108406798913,0.776034891594236,0.0750706305085417,0.081461956341804,0.0636314720105306,0.2310998349285973,six_month
core_logistic,responded_strict,0.1,6,12135,911,1217,316,0.2596551708198928,0.2326732673267326,0.2871287128712871,0.3469914381341699,3.460020764070054,0.2313108406798913,0.776034891594236,0.0750706305085417,0.081461956341804,0.0636314720105306,0.2310998349285973,six_month
core_logistic,responded_strict,0.2,6,12135,911,2430,480,0.1975255210868454,0.182716049382716,0.2103960396039604,0.5266730605195918,2.6301267041199465,0.2313108406798913,0.776034891594236,0.0750706305085417,0.081461956341804,0.0636314720105306,0.2310998349285973,six_month
decile,responded_strict,0.05,6,12135,911,610,106,0.1736232446774089,0.099009900990099,0.2450980392156862,0.1166084073256485,2.31811356360244,0.1392922606475899,0.7059659312466785,0.0750706305085417,,,,six_month
decile,responded_strict,0.1,6,12135,911,1217,206,0.1692043552370305,0.1237623762376237,0.2068965517241379,0.2260069178873368,2.2534697380193283,0.1392922606475899,0.7059659312466785,0.0750706305085417,,,,six_month
decile,responded_strict,0.2,6,12135,911,2430,376,0.1546971315548979,0.1339950372208436,0.1666666666666666,0.4132925482116289,2.063961255238466,0.1392922606475899,0.7059659312466785,0.0750706305085417,,,,six_month
delivered_logistic,responded_strict,0.05,6,12135,911,610,197,0.3228337539636317,0.2673267326732673,0.3725490196078431,0.2163071710671498,4.302831587337777,0.2431200737053698,0.7775405537894562,0.0750706305085417,0.0811079686158049,0.0632801120850618,0.2299998215333675,six_month
delivered_logistic,responded_strict,0.1,6,12135,911,1217,322,0.2645408738207926,0.2277227722772277,0.2892156862745098,0.3534012097904872,3.5240183217306567,0.2431200737053698,0.7775405537894562,0.0750706305085417,0.0811079686158049,0.0632801120850618,0.2299998215333675,six_month
delivered_logistic,responded_strict,0.2,6,12135,911,2430,494,0.2032758331123769,0.1901234567901234,0.213235294117647,0.5424805430300523,2.7091011380579526,0.2431200737053698,0.7775405537894562,0.0750706305085417,0.0811079686158049,0.0632801120850618,0.2299998215333675,six_month
extended_boosting,responded_strict,0.05,6,12135,911,610,195,0.3195981362842167,0.2772277227722772,0.3431372549019608,0.2142380544456483,4.261660145656403,0.2503107101273142,0.7768693550169984,0.0750706305085417,0.0797996815646346,0.0632824165087716,0.230642344389175,six_month
extended_boosting,responded_strict,0.1,6,12135,911,1217,327,0.2686662465145384,0.2326732673267326,0.2871287128712871,0.3586655934236629,3.5764684406495952,0.2503107101273142,0.7768693550169984,0.0750706305085417,0.0797996815646346,0.0632824165087716,0.230642344389175,six_month
extended_boosting,responded_strict,0.2,6,12135,911,2430,493,0.2028581886459728,0.1901234567901234,0.213235294117647,0.5412952805356824,2.703186781987385,0.2503107101273142,0.7768693550169984,0.0750706305085417,0.0797996815646346,0.0632824165087716,0.230642344389175,six_month
hcp_history_frozen,responded_strict,0.05,6,12135,911,610,144,0.2360221316249272,0.196078431372549,0.284313725490196,0.1581301444645142,3.144615636165766,0.1698515069009222,0.6993095129269916,0.0750706305085417,0.0693299652147883,0.0673863306330808,0.7342301955604794,six_month
hcp_history_frozen,responded_strict,0.1,6,12135,911,1217,258,0.2119787427887964,0.193069306930693,0.2463054187192118,0.2832737238072513,2.824403551449418,0.1698515069009222,0.6993095129269916,0.0750706305085417,0.0693299652147883,0.0673863306330808,0.7342301955604794,six_month
hcp_history_frozen,responded_strict,0.2,6,12135,911,2430,416,0.1711947780110241,0.1506172839506173,0.1876543209876543,0.4566235416020037,2.280343167654093,0.1698515069009222,0.6993095129269916,0.0750706305085417,0.0693299652147883,0.0673863306330808,0.7342301955604794,six_month
three_field_rate,responded_strict,0.05,6,12135,911,610,174,0.285154986086844,0.2376237623762376,0.3333333333333333,0.1915016675511804,3.808991312847104,0.2157652449149269,0.7626050533059071,0.0750706305085417,0.0819869340433883,0.0641643231702181,0.2444842467124276,six_month
three_field_rate,responded_strict,0.1,6,12135,911,1217,301,0.2473112495254161,0.2079207920792079,0.2807881773399014,0.3309631476861274,3.2999972919284946,0.2157652449149269,0.7626050533059071,0.0750706305085417,0.0819869340433883,0.0641643231702181,0.2444842467124276,six_month
three_field_rate,responded_strict,0.2,6,12135,911,2430,475,0.1954516146755152,0.173697270471464,0.2029702970297029,0.5215044715027586,2.604341001787253,0.2157652449149269,0.7626050533059071,0.0750706305085417,0.0819869340433883,0.0641643231702181,0.2444842467124276,six_month
