model,capacity,precision
three_field_rate,0.79,0.0925063311976096
three_field_rate,0.8,0.09239300723315856
three_field_rate,0.81,0.09124431033855758
three_field_rate,0.82,0.0901259000158824
three_field_rate,0.83,0.08923183025865829
three_field_rate,0.84,0.08818035994122582
three_field_rate,0.85,0.08773613219474163
three_field_rate,0.86,0.08670877020867823
three_field_rate,0.87,0.08570714009528678
three_field_rate,0.88,0.08474301281771297
three_field_rate,0.89,0.08415467876353717
three_field_rate,0.9,0.08322902440428409
three_field_rate,0.91,0.08229417095175169
three_field_rate,0.92,0.08176749038559306
three_field_rate,0.93,0.08107443167905136
three_field_rate,0.94,0.08057169049223094
three_field_rate,0.95,0.07989111474830306
three_field_rate,0.96,0.07904046751188427
three_field_rate,0.97,0.07823390421028632
three_field_rate,0.98,0.07744363569461397
three_field_rate,0.99,0.07666917310355481
three_field_rate,1.0,0.07591004693735827
