period,model,capacity,selected,precision
2025-10,core_logistic,0.69,1395,0.1082437275985663
2025-10,core_logistic,0.7,1415,0.1088339222614841
2025-10,core_logistic,0.71,1435,0.1073170731707317
2025-10,core_logistic,0.72,1456,0.10576923076923077
2025-10,core_logistic,0.73,1476,0.1043360433604336
2025-10,core_logistic,0.74,1496,0.10294117647058823
2025-10,core_logistic,0.75,1516,0.10158311345646438
2025-10,core_logistic,0.76,1536,0.10026041666666667
2025-10,core_logistic,0.77,1557,0.09955041746949261
2025-10,core_logistic,0.78,1577,0.09828788839568801
2025-10,core_logistic,0.79,1597,0.09705698184095178
2025-10,core_logistic,0.8,1617,0.095856524427953
2025-10,core_logistic,0.81,1638,0.09462759462759462
2025-10,core_logistic,0.82,1658,0.09348612786489746
2025-10,core_logistic,0.83,1678,0.09237187127532777
2025-10,core_logistic,0.84,1698,0.09246171967020024
2025-10,core_logistic,0.85,1718,0.09138533178114086
2025-10,core_logistic,0.86,1739,0.09085681426106958
2025-10,core_logistic,0.87,1759,0.08982376350198977
2025-10,core_logistic,0.88,1779,0.08881394041596402
2025-10,core_logistic,0.89,1799,0.08782657031684268
2025-10,core_logistic,0.9,1819,0.0868609125893348
2025-10,core_logistic,0.91,1840,0.08641304347826087
2025-10,core_logistic,0.92,1860,0.08548387096774193
2025-10,core_logistic,0.93,1880,0.08457446808510638
2025-10,core_logistic,0.94,1900,0.08368421052631579
2025-10,core_logistic,0.95,1920,0.0828125
2025-10,core_logistic,0.96,1941,0.08191653786707882
2025-10,core_logistic,0.97,1961,0.08108108108108109
2025-10,core_logistic,0.98,1981,0.08026249369005553
2025-10,core_logistic,0.99,2001,0.07946026986506746
2025-10,core_logistic,1.0,2021,0.07867392380009897
2025-10,delivered_logistic,0.01,21,0.5238095238095238
2025-10,delivered_logistic,0.02,41,0.43902439024390244
2025-10,delivered_logistic,0.03,61,0.4098360655737705
2025-10,delivered_logistic,0.04,81,0.37037037037037035
2025-10,delivered_logistic,0.05,102,0.35294117647058826
2025-10,delivered_logistic,0.06,122,0.319672131147541
2025-10,delivered_logistic,0.07,142,0.29577464788732394
2025-10,delivered_logistic,0.08,162,0.2777777777777778
2025-10,delivered_logistic,0.09,182,0.27472527472527475
2025-10,delivered_logistic,0.1,203,0.27586206896551724
2025-10,delivered_logistic,0.11,223,0.2645739910313901
2025-10,delivered_logistic,0.12,243,0.2716049382716049
2025-10,delivered_logistic,0.13,263,0.2623574144486692
2025-10,delivered_logistic,0.14,283,0.254416961130742
2025-10,delivered_logistic,0.15,304,0.24342105263157895
2025-10,delivered_logistic,0.16,324,0.23148148148148148
2025-10,delivered_logistic,0.17,344,0.2238372093023256
2025-10,delivered_logistic,0.18,364,0.21428571428571427
2025-10,delivered_logistic,0.19,384,0.20833333333333334
2025-10,delivered_logistic,0.2,405,0.2
2025-10,delivered_logistic,0.21,425,0.1976470588235294
2025-10,delivered_logistic,0.22,445,0.19775280898876405
2025-10,delivered_logistic,0.23,465,0.1956989247311828
2025-10,delivered_logistic,0.24,486,0.19753086419753085
2025-10,delivered_logistic,0.25,506,0.19367588932806323
2025-10,delivered_logistic,0.26,526,0.188212927756654
2025-10,delivered_logistic,0.27,546,0.18681318681318682
2025-10,delivered_logistic,0.28,566,0.1855123674911661
2025-10,delivered_logistic,0.29,587,0.18057921635434412
2025-10,delivered_logistic,0.3,607,0.1812191103789127
2025-10,delivered_logistic,0.31,627,0.18022328548644337
2025-10,delivered_logistic,0.32,647,0.1777434312210201
2025-10,delivered_logistic,0.33,667,0.17391304347826086
2025-10,delivered_logistic,0.34,688,0.1744186046511628
2025-10,delivered_logistic,0.35,708,0.1709039548022599
2025-10,delivered_logistic,0.36,728,0.1662087912087912
2025-10,delivered_logistic,0.37,748,0.16711229946524064
2025-10,delivered_logistic,0.38,768,0.1640625
2025-10,delivered_logistic,0.39,789,0.16096324461343473
2025-10,delivered_logistic,0.4,809,0.15822002472187885
2025-10,delivered_logistic,0.41,829,0.15681544028950542
2025-10,delivered_logistic,0.42,849,0.15429917550058891
2025-10,delivered_logistic,0.43,870,0.15172413793103448
2025-10,delivered_logistic,0.44,890,0.149438202247191
2025-10,delivered_logistic,0.45,910,0.14615384615384616
2025-10,delivered_logistic,0.46,930,0.14408602150537633
2025-10,delivered_logistic,0.47,950,0.14105263157894737
2025-10,delivered_logistic,0.48,971,0.14212152420185376
2025-10,delivered_logistic,0.49,991,0.13925327951564076
2025-10,delivered_logistic,0.5,1011,0.13748763600395647
2025-10,delivered_logistic,0.51,1031,0.13773035887487875
2025-10,delivered_logistic,0.52,1051,0.13606089438629876
2025-10,delivered_logistic,0.53,1072,0.13432835820895522
2025-10,delivered_logistic,0.54,1092,0.13278388278388278
2025-10,delivered_logistic,0.55,1112,0.1303956834532374
2025-10,delivered_logistic,0.56,1132,0.12897526501766785
2025-10,delivered_logistic,0.57,1152,0.1267361111111111
2025-10,delivered_logistic,0.58,1173,0.12531969309462915
2025-10,delivered_logistic,0.59,1193,0.12321877619446772
2025-10,delivered_logistic,0.6,1213,0.12118713932399011
2025-10,delivered_logistic,0.61,1233,0.1192214111922141
2025-10,delivered_logistic,0.62,1254,0.11802232854864433
2025-10,delivered_logistic,0.63,1274,0.11616954474097331
2025-10,delivered_logistic,0.64,1294,0.1143740340030912
2025-10,delivered_logistic,0.65,1314,0.1141552511415525
2025-10,delivered_logistic,0.66,1334,0.11319340329835083
2025-10,delivered_logistic,0.67,1355,0.11143911439114391
2025-10,delivered_logistic,0.68,1375,0.10981818181818181
2025-10,delivered_logistic,0.69,1395,0.1082437275985663
2025-10,delivered_logistic,0.7,1415,0.10812720848056537
2025-10,delivered_logistic,0.71,1435,0.1073170731707317
2025-10,delivered_logistic,0.72,1456,0.10576923076923077
2025-10,delivered_logistic,0.73,1476,0.1043360433604336
2025-10,delivered_logistic,0.74,1496,0.10294117647058823
2025-10,delivered_logistic,0.75,1516,0.10158311345646438
2025-10,delivered_logistic,0.76,1536,0.10026041666666667
2025-10,delivered_logistic,0.77,1557,0.09955041746949261
2025-10,delivered_logistic,0.78,1577,0.09828788839568801
2025-10,delivered_logistic,0.79,1597,0.09705698184095178
2025-10,delivered_logistic,0.8,1617,0.095856524427953
2025-10,delivered_logistic,0.81,1638,0.09523809523809523
2025-10,delivered_logistic,0.82,1658,0.09408926417370325
2025-10,delivered_logistic,0.83,1678,0.0935637663885578
2025-10,delivered_logistic,0.84,1698,0.09305064782096584
2025-10,delivered_logistic,0.85,1718,0.0919674039580908
2025-10,delivered_logistic,0.86,1739,0.09085681426106958
2025-10,delivered_logistic,0.87,1759,0.08982376350198977
2025-10,delivered_logistic,0.88,1779,0.08881394041596402
2025-10,delivered_logistic,0.89,1799,0.08782657031684268
2025-10,delivered_logistic,0.9,1819,0.08741066520065971
2025-10,delivered_logistic,0.91,1840,0.08641304347826087
2025-10,delivered_logistic,0.92,1860,0.08548387096774193
2025-10,delivered_logistic,0.93,1880,0.08457446808510638
2025-10,delivered_logistic,0.94,1900,0.08368421052631579
2025-10,delivered_logistic,0.95,1920,0.0828125
2025-10,delivered_logistic,0.96,1941,0.08191653786707882
2025-10,delivered_logistic,0.97,1961,0.08108108108108109
2025-10,delivered_logistic,0.98,1981,0.08026249369005553
2025-10,delivered_logistic,0.99,2001,0.07946026986506746
2025-10,delivered_logistic,1.0,2021,0.07867392380009897
2025-11,decile,0.01,21,0.047619047619047616
2025-11,decile,0.02,41,0.07317073170731707
2025-11,decile,0.03,61,0.08196721311475409
2025-11,decile,0.04,81,0.1111111111111111
2025-11,decile,0.05,101,0.09900990099009901
2025-11,decile,0.06,122,0.09836065573770492
2025-11,decile,0.07,142,0.09859154929577464
2025-11,decile,0.08,162,0.12962962962962962
2025-11,decile,0.09,182,0.15384615384615385
2025-11,decile,0.1,202,0.1485148514851485
2025-11,decile,0.11,222,0.15765765765765766
2025-11,decile,0.12,243,0.15637860082304528
2025-11,decile,0.13,263,0.1520912547528517
2025-11,decile,0.14,283,0.1519434628975265
2025-11,decile,0.15,303,0.1617161716171617
2025-11,decile,0.16,323,0.1609907120743034
2025-11,decile,0.17,343,0.15743440233236153
2025-11,decile,0.18,364,0.1510989010989011
2025-11,decile,0.19,384,0.1484375
2025-11,decile,0.2,404,0.14603960396039603
2025-11,decile,0.21,424,0.1509433962264151
2025-11,decile,0.22,444,0.1554054054054054
2025-11,decile,0.23,464,0.15086206896551724
2025-11,decile,0.24,485,0.14845360824742268
2025-11,decile,0.25,505,0.14653465346534653
2025-11,decile,0.26,525,0.15047619047619049
2025-11,decile,0.27,545,0.14862385321100918
2025-11,decile,0.28,565,0.14690265486725665
2025-11,decile,0.29,585,0.147008547008547
2025-11,decile,0.3,606,0.14356435643564355
2025-11,decile,0.31,626,0.1389776357827476
2025-11,decile,0.32,646,0.1346749226006192
2025-11,decile,0.33,666,0.13213213213213212
2025-11,decile,0.34,686,0.13119533527696792
2025-11,decile,0.35,706,0.13031161473087818
2025-11,decile,0.36,727,0.12929848693259974
2025-11,decile,0.37,747,0.1285140562248996
2025-11,decile,0.38,767,0.1290743155149935
2025-11,decile,0.39,787,0.12706480304955528
2025-11,decile,0.4,807,0.12639405204460966
2025-11,decile,0.41,827,0.12454655380894801
2025-11,decile,0.42,848,0.12617924528301888
2025-11,decile,0.43,868,0.12557603686635946
2025-11,decile,0.44,888,0.12612612612612611
2025-11,decile,0.45,908,0.12334801762114538
2025-11,decile,0.46,928,0.12284482758620689
2025-11,decile,0.47,948,0.12130801687763713
2025-11,decile,0.48,969,0.11867905056759546
2025-11,decile,0.49,989,0.1172901921132457
2025-11,decile,0.5,1009,0.11694747274529237
2025-11,decile,0.51,1029,0.11758989310009718
2025-11,decile,0.52,1049,0.11630123927550047
2025-11,decile,0.53,1070,0.11401869158878504
2025-11,decile,0.54,1090,0.11467889908256881
2025-11,decile,0.55,1110,0.11261261261261261
2025-11,decile,0.56,1130,0.11150442477876106
2025-11,decile,0.57,1150,0.10956521739130434
2025-11,decile,0.58,1170,0.1076923076923077
2025-11,decile,0.59,1191,0.10579345088161209
2025-11,decile,0.6,1211,0.10652353426919901
2025-11,decile,0.61,1231,0.10479285134037368
2025-11,decile,0.62,1251,0.10311750599520383
2025-11,decile,0.63,1271,0.10149488591660111
2025-11,decile,0.64,1291,0.10147172734314484
