model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss,stage
three_field_rate,2025-07,responded_strict,0.1,2025,150,203,51,0.074074074074074,0.2512315270935961,0.34,3.391625615763547,0.2117510512755805,0.7834808888888889,0.0831384429845358,0.0630857158819759,0.2275527496339026,development
three_field_rate,2025-07,responded_strict,0.2,2025,150,405,82,0.074074074074074,0.2024691358024691,0.5466666666666666,2.7333333333333334,0.2117510512755805,0.7834808888888889,0.0831384429845358,0.0630857158819759,0.2275527496339026,development
three_field_rate,2025-08,responded_strict,0.05,2012,146,101,24,0.0725646123260437,0.2376237623762376,0.1643835616438356,3.274650752746508,0.1711122351813441,0.7307716307683272,0.0805454975985846,0.0641966818429082,0.238792561259281,development
three_field_rate,2025-08,responded_strict,0.1,2012,146,202,42,0.0725646123260437,0.2079207920792079,0.2876712328767123,2.865319408653194,0.1711122351813441,0.7307716307683272,0.0805454975985846,0.0641966818429082,0.238792561259281,development
three_field_rate,2025-08,responded_strict,0.2,2012,146,403,70,0.0725646123260437,0.173697270471464,0.4794520547945205,2.393691151976614,0.1711122351813441,0.7307716307683272,0.0805454975985846,0.0641966818429082,0.238792561259281,development
three_field_rate,2025-09,responded_strict,0.05,2038,155,102,30,0.0760549558390579,0.2941176470588235,0.1935483870967742,3.8671726755218216,0.2145818014554613,0.7695664091275076,0.0827253599610728,0.0648417868193126,0.2500342760868626,development
three_field_rate,2025-09,responded_strict,0.1,2038,155,204,48,0.0760549558390579,0.2352941176470588,0.3096774193548387,3.0937381404174573,0.2145818014554613,0.7695664091275076,0.0827253599610728,0.0648417868193126,0.2500342760868626,development
three_field_rate,2025-09,responded_strict,0.2,2038,155,408,82,0.0760549558390579,0.2009803921568627,0.5290322580645161,2.6425679949399115,0.2145818014554613,0.7695664091275076,0.0827253599610728,0.0648417868193126,0.2500342760868626,development
core_logistic,2025-10,responded_strict,0.05,2021,159,102,31,0.0786739238000989,0.3039215686274509,0.1949685534591195,3.863053397459612,0.2509801070406724,0.7881276641739119,0.0807869566655274,0.06573040501583,0.2351415957104634,later
core_logistic,2025-10,responded_strict,0.1,2021,159,203,54,0.0786739238000989,0.2660098522167488,0.3396226415094339,3.3811692536481086,0.2509801070406724,0.7881276641739119,0.0807869566655274,0.06573040501583,0.2351415957104634,later
core_logistic,2025-10,responded_strict,0.2,2021,159,405,84,0.0786739238000989,0.2074074074074074,0.5283018867924528,2.636291637549499,0.2509801070406724,0.7881276641739119,0.0807869566655274,0.06573040501583,0.2351415957104634,later
core_logistic,2025-11,responded_strict,0.05,2017,158,101,34,0.0783341596430342,0.3366336633663366,0.2151898734177215,4.297405689936083,0.2470963169761665,0.7657700138225941,0.081767905186144,0.0660295577763293,0.2394737297938828,later
core_logistic,2025-11,responded_strict,0.1,2017,158,202,57,0.0783341596430342,0.2821782178217821,0.360759493670886,3.6022371224464216,0.2470963169761665,0.7657700138225941,0.081767905186144,0.0660295577763293,0.2394737297938828,later
core_logistic,2025-11,responded_strict,0.2,2017,158,404,85,0.0783341596430342,0.2103960396039604,0.5379746835443038,2.685878556210051,0.2470963169761665,0.7657700138225941,0.081767905186144,0.0660295577763293,0.2394737297938828,later
core_logistic,2025-12,responded_strict,0.05,2022,143,102,30,0.0707220573689416,0.2941176470588235,0.2097902097902098,4.158782394076511,0.2208463590836884,0.7780232008544942,0.0799529309605334,0.0603289677607151,0.2214846816150284,later
core_logistic,2025-12,responded_strict,0.1,2022,143,203,55,0.0707220573689416,0.270935960591133,0.3846153846153846,3.8309965896172793,0.2208463590836884,0.7780232008544942,0.0799529309605334,0.0603289677607151,0.2214846816150284,later
core_logistic,2025-12,responded_strict,0.2,2022,143,405,75,0.0707220573689416,0.1851851851851851,0.5244755244755245,2.6184926184926183,0.2208463590836884,0.7780232008544942,0.0799529309605334,0.0603289677607151,0.2214846816150284,later
decile,2025-10,responded_strict,0.05,2021,159,102,25,0.0786739238000989,0.2450980392156862,0.1572327044025157,3.1153656431125905,0.1549574405580061,0.725288625877362,,,,later
decile,2025-10,responded_strict,0.1,2021,159,203,42,0.0786739238000989,0.2068965517241379,0.2641509433962264,2.629798308392973,0.1549574405580061,0.725288625877362,,,,later
decile,2025-10,responded_strict,0.2,2021,159,405,63,0.0786739238000989,0.1555555555555555,0.3962264150943396,1.9772187281621243,0.1549574405580061,0.725288625877362,,,,later
decile,2025-11,responded_strict,0.05,2017,158,101,10,0.0783341596430342,0.099009900990099,0.0632911392405063,1.2639428499812009,0.1324923872479685,0.6770194265325717,,,,later
decile,2025-11,responded_strict,0.1,2017,158,202,30,0.0783341596430342,0.1485148514851485,0.189873417721519,1.895914274971801,0.1324923872479685,0.6770194265325717,,,,later
decile,2025-11,responded_strict,0.2,2017,158,404,59,0.0783341596430342,0.146039603960396,0.3734177215189873,1.8643157037222708,0.1324923872479685,0.6770194265325717,,,,later
